task_id,priority,category,target_id,target_title,manual_result,notes,reviewer,reviewed_at
p1-chapter-card-017,P1,chapter_card,chapter-017,第17封 4月23日~25日 温州北雁荡由浅入深,,,,
p1-chapter-card-018,P1,chapter_card,chapter-018,第18封 4月28日 朝辞雁荡暮至余杭,,,,
p1-chapter-card-019,P1,chapter_card,chapter-019,第19封 4月28日~5月2日 千古如斯的余杭,,,,
p1-chapter-card-020,P1,chapter_card,chapter-020,第20封 5月4日~5日 黄山天都峰排云亭,,,,
p1-chapter-card-021,P1,chapter_card,chapter-021,第21封 5月6日~8日 青阳九华山/安庆小孤山,,,,
p1-chapter-card-022,P1,chapter_card,chapter-022,第22封 5月8日~11日 鄱阳五老峰/三叠瀑,,,,
p1-chapter-card-023,P1,chapter_card,chapter-023,第23封 5月11日~14日 南京中山陵/玄武湖→苏州园林,,,,
p1-chapter-card-024,P1,chapter_card,chapter-024,第24封 5月15日~17日 苏州天平山沧浪亭→上海,,,,
p1-chapter-card-025,P1,chapter_card,chapter-025,第25封 5月18日~23日 沪青海航→青岛崂山→返京,,,,
p1-key-concept-001,P1,key_concept,concept-001,旅行书信,,,,
p1-key-concept-002,P1,key_concept,concept-002,山水行旅,,,,
p1-key-concept-003,P1,key_concept,concept-003,城市与旅途,,,,
p1-key-concept-004,P1,key_concept,concept-004,多段叙述,,,,
p1-key-concept-005,P1,key_concept,concept-005,长篇行旅记录,,,,
p1-reading-question-001,P1,reading_question,book-question-001,这 25 封书信如何按照行程顺序展开出一条阅读路线？,,,,
p1-reading-question-002,P1,reading_question,letter-question-001,阅读“第1封 3月17日~18日 娘子关→骊山→西安”时，可以如何把 娘子关、骊山、西安 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-003,P1,reading_question,letter-question-002,阅读“第2封 3月19日~20日 半坡/碑林→成都”时，可以如何把 半坡、碑林、成都 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-004,P1,reading_question,letter-question-003,阅读“第3封 3月21日~23日 杜甫草堂/武侯祠→青城山”时，可以如何把 杜甫草堂、武侯祠、青城山 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-005,P1,reading_question,letter-question-004,阅读“第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚”时，可以如何把 乐山大佛、青衣亭、峨嵋山脚 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-006,P1,reading_question,letter-question-005,阅读“第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站”时，可以如何把 峨嵋车站、成昆线隧道、昆明车站 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-007,P1,reading_question,letter-question-006,阅读“第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪”时，可以如何把 昆明温泉、西山、石林 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-008,P1,reading_question,letter-question-007,阅读“第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江”时，可以如何把 贵阳流山、桂林伏波山、七星山 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-009,P1,reading_question,letter-question-008,阅读“第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔”时，可以如何把 桂林南溪山、叠彩峰、隐山 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-010,P1,reading_question,letter-question-009,阅读“第9封 4月5日~7日 漓江→阳朔→梧州”时，可以如何把 漓江、阳朔、梧州 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-011,P1,reading_question,letter-question-010,阅读“第10封 4月7日~8日 梧州西江种种”时，可以如何把 梧州西江种种 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-012,P1,reading_question,letter-question-011,阅读“第11封 4月8日~9日 肇庆天柱阁”时，可以如何把 肇庆天柱阁 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-013,P1,reading_question,letter-question-012,阅读“第12封 4月9日~11日 广州中山大学/白云山”时，可以如何把 广州中山大学、白云山 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-014,P1,reading_question,letter-question-013,阅读“第13封 4月13日~14日 汕头看海”时，可以如何把 汕头看海 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-015,P1,reading_question,letter-question-014,阅读“第14封 4月15日~16日 云霄→漳浦→漳州→厦门→福州→鼓浪屿”时，可以如何把 云霄、漳浦、漳州 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-016,P1,reading_question,letter-question-015,阅读“第15封 4月17日~19日 泉州→福州西湖/戚公祠/乌龙江大桥/涌泉寺”时，可以如何把 泉州、福州西湖、戚公祠 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-017,P1,reading_question,letter-question-016,阅读“第16封 4月20日~22日 福安交溪→福鼎灵溪→南雁荡/会文书院→北雁荡”时，可以如何把 福安交溪、福鼎灵溪、南雁荡 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-018,P1,reading_question,letter-question-017,阅读“第17封 4月23日~25日 温州北雁荡由浅入深”时，可以如何把 温州北雁荡由浅入深 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-019,P1,reading_question,letter-question-018,阅读“第18封 4月28日 朝辞雁荡暮至余杭”时，可以如何把 朝辞雁荡暮至余杭 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-020,P1,reading_question,letter-question-019,阅读“第19封 4月28日~5月2日 千古如斯的余杭”时，可以如何把 千古如斯的余杭 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-021,P1,reading_question,letter-question-020,阅读“第20封 5月4日~5日 黄山天都峰排云亭”时，可以如何把 黄山天都峰排云亭 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-022,P1,reading_question,letter-question-021,阅读“第21封 5月6日~8日 青阳九华山/安庆小孤山”时，可以如何把 青阳九华山、安庆小孤山 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-023,P1,reading_question,letter-question-022,阅读“第22封 5月8日~11日 鄱阳五老峰/三叠瀑”时，可以如何把 鄱阳五老峰、三叠瀑 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-024,P1,reading_question,letter-question-023,阅读“第23封 5月11日~14日 南京中山陵/玄武湖→苏州园林”时，可以如何把 南京中山陵、玄武湖、苏州园林 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-025,P1,reading_question,letter-question-024,阅读“第24封 5月15日~17日 苏州天平山沧浪亭→上海”时，可以如何把 苏州天平山沧浪亭、上海 与本封书信的行旅结构联系起来？,,,,
p1-reading-question-026,P1,reading_question,letter-question-025,阅读“第25封 5月18日~23日 沪青海航→青岛崂山→返京”时，可以如何把 沪青海航、青岛崂山、返京 与本封书信的行旅结构联系起来？,,,,
p1-quote-structural-001,P1,quote_structural_entry,quote-placeholder-001,sec-006,,,,
p1-quote-structural-002,P1,quote_structural_entry,quote-placeholder-002,sec-007,,,,
p1-quote-structural-003,P1,quote_structural_entry,quote-placeholder-003,sec-008,,,,
p1-quote-structural-004,P1,quote_structural_entry,quote-placeholder-004,sec-009,,,,
p1-quote-structural-005,P1,quote_structural_entry,quote-placeholder-005,sec-010,,,,
p1-quote-structural-006,P1,quote_structural_entry,quote-placeholder-006,sec-011,,,,
p1-quote-structural-007,P1,quote_structural_entry,quote-placeholder-007,sec-012,,,,
p1-quote-structural-008,P1,quote_structural_entry,quote-placeholder-008,sec-013,,,,
p1-quote-structural-009,P1,quote_structural_entry,quote-placeholder-009,sec-014,,,,
p1-quote-structural-010,P1,quote_structural_entry,quote-placeholder-010,sec-015,,,,
p1-quote-structural-011,P1,quote_structural_entry,quote-placeholder-011,sec-016,,,,
p1-quote-structural-012,P1,quote_structural_entry,quote-placeholder-012,sec-017,,,,
p1-quote-structural-013,P1,quote_structural_entry,quote-placeholder-013,sec-018,,,,
p1-quote-structural-014,P1,quote_structural_entry,quote-placeholder-014,sec-019,,,,
p1-quote-structural-015,P1,quote_structural_entry,quote-placeholder-015,sec-020,,,,
p1-quote-structural-016,P1,quote_structural_entry,quote-placeholder-016,sec-021,,,,
p1-quote-structural-017,P1,quote_structural_entry,quote-placeholder-017,sec-022,,,,
p1-quote-structural-018,P1,quote_structural_entry,quote-placeholder-018,sec-023,,,,
p1-quote-structural-019,P1,quote_structural_entry,quote-placeholder-019,sec-024,,,,
p1-quote-structural-020,P1,quote_structural_entry,quote-placeholder-020,sec-025,,,,
p1-quote-structural-021,P1,quote_structural_entry,quote-placeholder-021,sec-026,,,,
p1-quote-structural-022,P1,quote_structural_entry,quote-placeholder-022,sec-027,,,,
p1-quote-structural-023,P1,quote_structural_entry,quote-placeholder-023,sec-028,,,,
p1-quote-structural-024,P1,quote_structural_entry,quote-placeholder-024,sec-029,,,,
p1-quote-structural-025,P1,quote_structural_entry,quote-placeholder-025,sec-030,,,,
p2-wording-polish-001,P2,wording_polish,public-reading-guide,Public wording,,,,
p2-concept-grouping-001,P2,concept_grouping_refinement,key_concepts,Concept grouping refinement,,,,
p2-future-quote-review-001,P2,future_quote_replacement,quote_index,Future quote review,,,,
p2-question-quality-001,P2,question_quality_enhancement,reading_questions,Question quality enhancement,,,,
