segment_id,page,field,issue,current_value,question,manual_result,notes
seg-004,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-004,,evidence_notes,证据处理说明核对,route_summary: 标题引用移出后补充正文证据并收紧表达。,该证据处理说明是否需要调整？,,
seg-004,,evidence_notes,证据处理说明核对,lodging: 标题引用移出后补充正文证据并收紧表达。,该证据处理说明是否需要调整？,,
seg-004,,evidence_notes,证据处理说明核对,p104 quote updated,该证据处理说明是否需要调整？,,
seg-004,,evidence_notes,证据处理说明核对,p114 quote updated,该证据处理说明是否需要调整？,,
seg-004,114,review_notes,复核备注,本段部分细节来自标题页和相邻正文，仍需回看第100-114页确认完整日程。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-004,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 100,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-004,,gap_notes,断点/GPX 规则,本段从旧县镇开始步行；与上一段之间存在已在 seg-003 标记的断点。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-004,,continuity_status,状态高亮复核,gap_before,该状态是否与书中证据、复核备注和 GPX 导出规则一致？,,walkable_block=walk-block-003
seg-004,,start,approximate 坐标,"延庆旧县镇 (40.497, 116.05) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,,via[1],approximate 坐标,"车坊 (40.535, 116.07) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,,via[2],approximate 坐标,"黑峪口村 (40.58, 116.065) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,,via[3],approximate 坐标,"盘云岭 (40.64, 116.05) source=manual mountain pass approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,,via[4],approximate 坐标,"燕山天池宾馆 (40.624, 115.93) source=manual lodging area approximation near Baihepu Reservoir",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,,end,approximate 坐标,"白河堡水库 (40.624, 115.93) source=manual reservoir approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,143,book_refs,书中路线证据核对,靠近长伸地村的村口时，还不到下午三点,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明到达长伸地村口的时间和住宿安排。
seg-005,143,book_refs,书中路线证据核对,右转过河，沿一条新铺的水泥路上山,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明长伸地村口后的具体走法。
seg-005,125,book_refs,书中路线证据核对,公路紧贴在白河河谷的北岸,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段沿白河河谷行走。
seg-005,126,book_refs,书中路线证据核对,上午十点，到达骆驼山村,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段到达骆驼山村。
seg-005,122,chapter_refs,章节出处核对,从白河堡水库到长伸地村,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-005,,resupply,书中未明示,书中未明示。,该字段是否确实无书中明示依据？,,
seg-005,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-005,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-005,,evidence_notes,证据处理说明核对,route_summary: 标题引用移出后补充正文证据并收紧表达。,该证据处理说明是否需要调整？,,
seg-005,,evidence_notes,证据处理说明核对,walking_directions: 标题引用移出后补充正文证据并收紧表达。,该证据处理说明是否需要调整？,,
seg-005,,evidence_notes,证据处理说明核对,water_sources: 标题引用移出后补充正文证据并收紧表达。,该证据处理说明是否需要调整？,,
seg-005,122,review_notes,复核备注,第122页标题图 OCR 将“长伸地村”识别为“长博地村”，已按正文第143页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-005,143,review_notes,复核备注,第122页标题图 OCR 将“长伸地村”识别为“长博地村”，已按正文第143页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-005,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 122,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-005,,review_notes,复核备注,证据不足，待人工复核：seg-005 原 route_summary / walking_directions 中的“郑家窑、镇虏楼”未在正文事实页形成足够支撑，本轮仅从摘要和方向中移除，地点候选仍需回看 PDF。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-005,,gap_notes,断点/GPX 规则,部分中途地名曾因 OCR 和标题页证据不足被移入复核说明；GPX 仅按已保留正文证据和坐标生成参考线。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-005,,start,approximate 坐标,"白河堡水库 (40.624, 115.93) source=manual reservoir approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,,via[1],approximate 坐标,"白河河谷 (40.68, 115.9) source=manual river valley approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,,via[2],approximate 坐标,"骆驼山 (40.73, 115.86) source=manual village/mountain area approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,,via[3],approximate 坐标,"郑家窑村 (40.79, 115.8) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,,via[4],approximate 坐标,"镇虏楼 (40.855, 115.73) source=manual historic tower near Changshendi approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-005,,end,approximate 坐标,"长伸地村 (40.855, 115.73) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,150,book_refs,书中路线证据核对,看看表正好是六点半，背起背包,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明本日出发时间。
seg-006,160,book_refs,书中路线证据核对,从红沙梁一路下山,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明红沙梁之后的下山路线。
seg-006,167,book_refs,书中路线证据核对,进人龙门所镇正好是下午四点,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明到达龙门所镇。
seg-006,151,book_refs,书中路线证据核对,我们尽量走路边的老路或人行道,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段修路环境下走老路或人行道。
seg-006,161,book_refs,书中路线证据核对,汇入国道京环线（G112）,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段道路进入国道京环线/G112。
seg-006,154,book_refs,书中路线证据核对,大卡车奔忙来去，拖曳着尘土飞扬的长龙,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持修路车辆扬尘。
seg-006,155,book_refs,书中路线证据核对,他的脚第一天就打了水泡,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持脚部水泡风险。
seg-006,160,book_refs,书中路线证据核对,顶着烈日再走一个小时,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持烈日和疲劳背景。
seg-006,148,chapter_refs,章节出处核对,从长伸地村到龙门所镇,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-006,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-006,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-006,,evidence_notes,证据处理说明核对,roads_or_paths: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-006,,evidence_notes,证据处理说明核对,risks_or_notes: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-006,148,review_notes,复核备注,“不堡子村”疑似 OCR 或地名需回看第148页标题图。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-006,,review_notes,复核备注,[evidence_audit] unsupported_claim: roads_or_paths: 修路路段、老路、人行道、国道京环线/G112,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-006,,review_notes,复核备注,[evidence_audit] unsupported_claim: risks_or_notes: 修路扬尘、烈日、疲劳、水泡,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-006,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 148,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-006,,start,approximate 坐标,"长伸地村 (40.855, 115.73) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,,via[1],approximate 坐标,"巡检司村 (40.885, 115.67) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,,via[2],approximate 坐标,"不堡子村 (40.91, 115.62) source=manual OCR-normalized village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,,via[3],approximate 坐标,"红沙梁 (40.93, 115.58) source=manual pass/ridge approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,,via[4],approximate 坐标,"小堡村 (40.95, 115.55) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-006,,end,approximate 坐标,"龙门所镇 (40.98, 115.49) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-007,175,book_refs,书中路线证据核对,从龙门所沿G112先是向北，一路越走越高,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明离开龙门所后的路线。
seg-007,180,book_refs,书中路线证据核对,中午十二点，我们走到东万口乡,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明中途集镇与补给。
seg-007,189,book_refs,书中路线证据核对,下午五点整，我们走到白草镇南G112向东转,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明完成本日行程。
seg-007,174,book_refs,书中路线证据核对,塘子庙就是明代地图上的“滚水塘”，以温泉得名,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持 route_summary 中塘子庙相关描述。
seg-007,174,book_refs,书中路线证据核对,我们住的这家“温泉宾馆”开业不久,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段住宿为塘子庙温泉宾馆。
seg-007,172,chapter_refs,章节出处核对,从龙门所到白草镇,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-007,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-007,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-007,,evidence_notes,证据处理说明核对,route_summary: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-007,,evidence_notes,证据处理说明核对,lodging: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-007,172,review_notes,复核备注,第172页标题页 OCR 可能把“塘子庙”识别为“特子庙”，已据正文第174、191页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-007,191,review_notes,复核备注,第172页标题页 OCR 可能把“塘子庙”识别为“特子庙”，已据正文第174、191页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-007,,review_notes,复核备注,[evidence_audit] unsupported_claim: route_summary: 经塘子庙,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-007,,review_notes,复核备注,[evidence_audit] unsupported_claim: lodging: 塘子庙温泉宾馆一带,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-007,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 172,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-007,,start,approximate 坐标,"龙门所 (40.98, 115.49) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-007,,via[1],approximate 坐标,"巴图营大桥 (40.96, 115.5) source=manual bridge area approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-007,,via[2],approximate 坐标,"塘子庙 (40.99, 115.42) source=manual hot spring village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-007,,via[3],approximate 坐标,"东万口乡 (41.05, 115.32) source=manual modern township approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-007,,end,approximate 坐标,"白草镇 (41.09, 115.22) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-008,194,book_refs,书中路线证据核对,沿黑河东岸的一条县级公路（X404）向北,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明道路和方向。
seg-008,205,book_refs,书中路线证据核对,随着X404左转进人黑龙山村,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明黑龙山村和距离判断。
seg-008,207,book_refs,书中路线证据核对,从沟口往沟里走了半小时后,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明进入老掌沟后因时间安排联系车辆。
seg-008,207,book_refs,书中路线证据核对,请他开车来接我们。他爽快地答应了,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段后段由度假村车辆接应。
seg-008,205,book_refs,书中路线证据核对,离目的地老掌沟还有差不多二十公里，看来很难完成了,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段路程压力。
seg-008,205,book_refs,书中路线证据核对,山区有自己的小气候，也许会突然来一场暴雨,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持天气突变风险。
seg-008,205,book_refs,书中路线证据核对,一路上已见到好几拨越野车队,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持越野车相关风险。
seg-008,192,chapter_refs,章节出处核对,从白草镇到老掌沟,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-008,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-008,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-008,,evidence_notes,证据处理说明核对,route_summary: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-008,,evidence_notes,证据处理说明核对,risks_or_notes: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-008,207,review_notes,复核备注,第207页显示从老掌沟沟内联系车辆接应，本段步行终点与住宿点之间存在非步行接续，需人工复核。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-008,,review_notes,复核备注,[evidence_audit] unsupported_claim: route_summary: 因路程和同行人返程安排，后段由度假村车接走,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-008,,review_notes,复核备注,[evidence_audit] unsupported_claim: risks_or_notes: 长距离近四十公里计划、天气突变、越野车、后段非连续步行,该复核备注是否仍成立？是否需要回看原书扫描页？,,
